# ccx y+
0.000485708 0.523378
0.00145827 0.546992
0.00243313 0.959938
0.00341029 1.94138
0.00438975 4.25899
0.00537153 4.74519
0.00635563 4.72967
0.00734204 4.76109
0.00833079 4.82048
0.00932187 4.86985
0.0103153 4.911
0.011311 4.93266
0.0123092 4.94976
0.0133096 4.95564
0.0143125 4.95868
0.0153177 4.95754
0.0163252 4.95561
0.0173352 4.95148
0.0183475 4.94527
0.0193622 4.93809
0.0203793 4.93054
0.0213988 4.92229
0.0224208 4.91324
0.0234451 4.9039
0.0244718 4.89417
0.025501 4.8847
0.0265326 4.87462
0.0275667 4.86468
0.0286031 4.85472
0.0296421 4.84486
0.0306834 4.83488
0.0317273 4.825
0.0327736 4.81521
0.0338223 4.80555
0.0348736 4.79606
0.0359273 4.78665
0.0369835 4.77748
0.0380422 4.76843
0.0391034 4.75947
0.0401671 4.75067
0.0412333 4.74187
0.0423021 4.73314
0.0433733 4.72439
0.0444471 4.71566
0.0455234 4.70702
0.0466023 4.69833
0.0476837 4.68968
0.0487676 4.681
0.0498542 4.67242
0.0509432 4.66388
0.0520349 4.65544
0.0531291 4.6471
0.0542259 4.63887
0.0553253 4.63081
0.0564273 4.62281
0.0575319 4.61495
0.0586391 4.60717
0.0597489 4.59949
0.0608614 4.59192
0.0619764 4.5844
0.0630941 4.57699
0.0642144 4.5697
0.0653374 4.56257
0.066463 4.55557
0.0675913 4.54876
0.0687222 4.54214
0.0698559 4.53566
0.0709921 4.52931
0.0721311 4.52301
0.0732728 4.51677
0.0744171 4.51052
0.0755642 4.50427
0.0767139 4.49805
0.0778664 4.49187
0.0790216 4.48577
0.0801795 4.47974
0.0813402 4.47383
0.0825035 4.46797
0.0836697 4.46214
0.0848386 4.45632
0.0860102 4.45048
0.0871846 4.44461
0.0883618 4.43874
0.0895418 4.43292
0.0907245 4.42718
0.0919101 4.42157
0.0930984 4.41609
0.0942895 4.4107
0.0954835 4.40539
0.0966803 4.40011
0.0978799 4.39483
0.0990823 4.38957
0.100288 4.38434
0.101496 4.37918
0.102707 4.37414
0.10392 4.36924
0.105137 4.36444
0.106357 4.35972
0.107579 4.35502
0.108804 4.35026
0.110033 4.34543
0.111264 4.34055
0.112498 4.33567
0.113735 4.33089
0.114975 4.3263
0.116217 4.32186
0.117463 4.31748
0.118712 4.31302
0.119963 4.30844
0.121218 4.30375
0.122475 4.29906
0.123736 4.2945
0.124999 4.29014
0.126266 4.28596
0.127535 4.28188
0.128807 4.27775
0.130083 4.27348
0.131361 4.26907
0.132643 4.26463
0.133927 4.26033
0.135215 4.25628
0.136505 4.25249
0.137799 4.24881
0.139096 4.24501
0.140395 4.24094
0.141698 4.23668
0.143004 4.23244
0.144313 4.22845
0.145625 4.22477
0.14694 4.22125
0.148258 4.21761
0.149579 4.21367
0.150904 4.20953
0.152231 4.20544
0.153562 4.20168
0.154896 4.19829
0.156233 4.19501
0.157573 4.19148
0.158916 4.18758
0.160263 4.18352
0.161613 4.17966
0.162965 4.17622
0.164321 4.17306
0.165681 4.16984
0.167043 4.16629
0.168409 4.16247
0.169778 4.15866
0.17115 4.15518
0.172525 4.15211
0.173904 4.14923
0.175286 4.14612
0.176671 4.14254
0.178059 4.13856
0.179451 4.13458
0.180846 4.13102
0.182244 4.12812
0.183646 4.12576
0.18505 4.12329
0.186459 4.12002
0.18787 4.11602
0.189285 4.11188
0.190703 4.10822
0.192124 4.1053
0.193549 4.10314
0.194978 4.10113
0.196409 4.09805
0.197844 4.09401
0.199282 4.08987
0.200724 4.08635
0.202169 4.08371
0.203618 4.08185
0.20507 4.07941
0.206525 4.07595
0.207903 4.0725
0.209207 4.06965
0.210526 4.0673
0.211859 4.06504
0.213207 4.06239
0.214569 4.05922
0.215947 4.0559
0.217339 4.05289
0.218746 4.05044
0.220168 4.0486
0.221606 4.04694
0.22306 4.04412
0.224529 4.0403
0.226015 4.0364
0.227516 4.03305
0.229034 4.03056
0.230569 4.02881
0.23212 4.02671
0.233687 4.02381
0.235272 4.02057
0.236875 4.01733
0.238494 4.01427
0.240131 4.01154
0.241786 4.0091
0.243459 4.0065
0.24515 4.00336
0.24686 3.99977
0.248588 3.99626
0.250335 3.99331
0.252101 3.99104
0.253886 3.98932
0.25569 3.98674
0.257514 3.98273
0.259358 3.97856
0.261222 3.97509
0.263106 3.97246
0.265011 3.97056
0.266937 3.9685
0.268883 3.96462
0.27085 3.96071
0.272839 3.95801
0.27485 3.95581
0.276882 3.95264
0.278936 3.94869
0.281013 3.94501
0.283113 3.94234
0.285235 3.94031
0.28738 3.93728
0.289548 3.93332
0.291741 3.92955
0.293956 3.92664
0.296196 3.92454
0.298461 3.92229
0.30075 3.918
0.303064 3.91376
