# ccx tau_xx tau_yy tau_zz
0.000485708 -48.4476 -0.78508 0
0.00145827 -32.5334 -0.20887 0
0.00243313 -31.48 -0.0286404 0
0.00341029 -30.0981 -0.0243734 0
0.00438975 -28.9714 -0.0217283 0
0.00537153 -28.05 -0.018942 0
0.00635563 -27.2252 -0.016546 0
0.00734204 -26.5323 -0.0142313 0
0.00833079 -25.92 -0.0125233 0
0.00932187 -25.3813 -0.0111327 0
0.0103153 -24.8955 -0.0100097 0
0.011311 -24.4599 -0.00905097 0
0.0123092 -24.0627 -0.00822128 0
0.0133096 -23.7026 -0.00749873 0
0.0143125 -23.37 -0.00687582 0
0.0153177 -23.0653 -0.00633968 0
0.0163252 -22.7804 -0.0058917 0
0.0173352 -22.5158 -0.00548534 0
0.0183475 -22.2676 -0.00513419 0
0.0193622 -22.0347 -0.00480676 0
0.0203793 -21.8157 -0.00452458 0
0.0213988 -21.6081 -0.00426939 0
0.0224208 -21.4121 -0.00403709 0
0.0234451 -21.2253 -0.00382936 0
0.0244718 -21.0481 -0.00362555 0
0.025501 -20.8797 -0.00344277 0
0.0265326 -20.7187 -0.0032784 0
0.0275667 -20.5651 -0.00312159 0
0.0286031 -20.4183 -0.00298042 0
0.0296421 -20.2775 -0.00284965 0
0.0306834 -20.1425 -0.0027256 0
0.0317273 -20.0129 -0.00261405 0
0.0327736 -19.888 -0.00250857 0
0.0338223 -19.7679 -0.00240922 0
0.0348736 -19.652 -0.00232052 0
0.0359273 -19.5399 -0.00223661 0
0.0369835 -19.4316 -0.00215819 0
0.0380422 -19.3266 -0.00208758 0
0.0391034 -19.2246 -0.00202079 0
0.0401671 -19.1257 -0.00195714 0
0.0412333 -19.0296 -0.00189736 0
0.0423021 -18.9361 -0.00183807 0
0.0433733 -18.8455 -0.00178097 0
0.0444471 -18.7572 -0.00172858 0
0.0455234 -18.6713 -0.00167795 0
0.0466023 -18.5876 -0.00162978 0
0.0476837 -18.5062 -0.0015836 0
0.0487676 -18.4267 -0.00153947 0
0.0498542 -18.3493 -0.0014964 0
0.0509432 -18.2738 -0.00145529 0
0.0520349 -18.2002 -0.00141697 0
0.0531291 -18.1283 -0.00137975 0
0.0542259 -18.058 -0.00134438 0
0.0553253 -17.9893 -0.00131083 0
0.0564273 -17.9222 -0.00127846 0
0.0575319 -17.8565 -0.00124702 0
0.0586391 -17.7923 -0.00121694 0
0.0597489 -17.7293 -0.00118895 0
0.0608614 -17.6677 -0.00116163 0
0.0619764 -17.6073 -0.00113549 0
0.0630941 -17.548 -0.00111118 0
0.0642144 -17.4898 -0.0010874 0
0.0653374 -17.4327 -0.00106453 0
0.066463 -17.3766 -0.00104233 0
0.0675913 -17.3216 -0.00102124 0
0.0687222 -17.2675 -0.00100082 0
0.0698559 -17.2143 -0.000980778 0
0.0709921 -17.1621 -0.00096166 0
0.0721311 -17.1107 -0.000943051 0
0.0732728 -17.0602 -0.000924906 0
0.0744171 -17.0105 -0.000907327 0
0.0755642 -16.9616 -0.000890456 0
0.0767139 -16.9134 -0.000874009 0
0.0778664 -16.8661 -0.000857952 0
0.0790216 -16.8195 -0.000842343 0
0.0801795 -16.7735 -0.000827475 0
0.0813402 -16.7283 -0.00081297 0
0.0825035 -16.6837 -0.00079866 0
0.0836697 -16.6399 -0.000784866 0
0.0848386 -16.5966 -0.000771616 0
0.0860102 -16.5539 -0.000758673 0
0.0871846 -16.5119 -0.000745968 0
0.0883618 -16.4704 -0.000733659 0
0.0895418 -16.4295 -0.000721753 0
0.0907245 -16.3892 -0.000710101 0
0.0919101 -16.3494 -0.000698605 0
0.0930984 -16.3101 -0.000687494 0
0.0942895 -16.2714 -0.000676773 0
0.0954835 -16.2331 -0.000666232 0
0.0966803 -16.1954 -0.000655808 0
0.0978799 -16.1581 -0.000645679 0
0.0990823 -16.1213 -0.000635908 0
0.100288 -16.085 -0.000626321 0
0.101496 -16.0491 -0.000616952 0
0.102707 -16.0137 -0.000607777 0
0.10392 -15.9786 -0.000598913 0
0.105137 -15.944 -0.000590228 0
0.106357 -15.9099 -0.000581696 0
0.107579 -15.8761 -0.000573292 0
0.108804 -15.8427 -0.000565173 0
0.110033 -15.8097 -0.000557301 0
0.111264 -15.777 -0.00054955 0
0.112498 -15.7448 -0.000541905 0
0.113735 -15.7129 -0.000534437 0
0.114975 -15.6813 -0.00052718 0
0.116217 -15.6501 -0.000520084 0
0.117463 -15.6193 -0.000513165 0
0.118712 -15.5887 -0.000506349 0
0.119963 -15.5585 -0.000499711 0
0.121218 -15.5286 -0.000493193 0
0.122475 -15.499 -0.000486789 0
0.123736 -15.4697 -0.000480495 0
0.124999 -15.4407 -0.000474349 0
0.126266 -15.412 -0.000468372 0
0.127535 -15.3836 -0.000462451 0
0.128807 -15.3555 -0.000456658 0
0.130083 -15.3277 -0.000450934 0
0.131361 -15.3001 -0.00044537 0
0.132643 -15.2728 -0.000439945 0
0.133927 -15.2458 -0.00043459 0
0.135215 -15.219 -0.000429336 0
0.136505 -15.1925 -0.000424138 0
0.137799 -15.1662 -0.000419081 0
0.139096 -15.1402 -0.000414123 0
0.140395 -15.1144 -0.000409266 0
0.141698 -15.0888 -0.000404495 0
0.143004 -15.0635 -0.000399809 0
0.144313 -15.0384 -0.000395231 0
0.145625 -15.0135 -0.000390713 0
0.14694 -14.9888 -0.000386292 0
0.148258 -14.9644 -0.000381941 0
0.149579 -14.9402 -0.000377676 0
