# ccx tau_xx tau_yy tau_zz
0.000485708 -3.82671 -0.0053129 0
0.00145827 -3.81749 -0.00727368 0
0.00243313 -3.80728 -0.00851914 0
0.00341029 -3.79637 -0.00932174 0
0.00438975 -3.78503 -0.00986284 0
0.00537153 -3.77348 -0.0102454 0
0.00635563 -3.76182 -0.0105254 0
0.00734204 -3.75008 -0.0107349 0
0.00833079 -3.73825 -0.0108938 0
0.00932187 -3.72637 -0.0110156 0
0.0103153 -3.71442 -0.0111093 0
0.011311 -3.70243 -0.0111814 0
0.0123092 -3.6904 -0.0112367 0
0.0133096 -3.67833 -0.0112785 0
0.0143125 -3.66622 -0.0113092 0
0.0153177 -3.65407 -0.0113304 0
0.0163252 -3.64189 -0.0113437 0
0.0173352 -3.62968 -0.0113503 0
0.0183475 -3.61743 -0.0113508 0
0.0193622 -3.60514 -0.0113463 0
0.0203793 -3.59283 -0.0113375 0
0.0213988 -3.58048 -0.0113247 0
0.0224208 -3.5681 -0.0113087 0
0.0234451 -3.55569 -0.0112896 0
0.0244718 -3.54325 -0.0112679 0
0.025501 -3.53078 -0.0112436 0
0.0265326 -3.51828 -0.0112172 0
0.0275667 -3.50575 -0.0111888 0
0.0286031 -3.49318 -0.0111585 0
0.0296421 -3.48059 -0.0111264 0
0.0306834 -3.46797 -0.0110927 0
0.0317273 -3.45532 -0.0110578 0
0.0327736 -3.44264 -0.0110218 0
0.0338223 -3.42993 -0.0109845 0
0.0348736 -3.41719 -0.0109459 0
0.0359273 -3.40442 -0.0109062 0
0.0369835 -3.39162 -0.0108657 0
0.0380422 -3.37879 -0.0108245 0
0.0391034 -3.36594 -0.0107823 0
0.0401671 -3.35306 -0.0107393 0
0.0412333 -3.34014 -0.0106956 0
0.0423021 -3.32721 -0.0106512 0
0.0433733 -3.31424 -0.0106061 0
0.0444471 -3.30125 -0.0105603 0
0.0455234 -3.28823 -0.0105139 0
0.0466023 -3.27518 -0.0104669 0
0.0476837 -3.26211 -0.0104193 0
0.0487676 -3.24901 -0.010371 0
0.0498542 -3.23588 -0.0103221 0
0.0509432 -3.22273 -0.0102727 0
0.0520349 -3.20956 -0.0102226 0
0.0531291 -3.19636 -0.010172 0
0.0542259 -3.18314 -0.0101206 0
0.0553253 -3.16989 -0.0100685 0
0.0564273 -3.15663 -0.0100155 0
0.0575319 -3.14334 -0.00996164 0
0.0586391 -3.13004 -0.00990656 0
0.0597489 -3.11672 -0.0098503 0
0.0608614 -3.10338 -0.0097925 0
0.0619764 -3.09003 -0.00973295 0
0.0630941 -3.07666 -0.00967136 0
0.0642144 -3.06329 -0.00960744 0
0.0653374 -3.04992 -0.00954061 0
