# ccx tau_xx tau_yy tau_zz
0.000485708 -1.8424 -0.00120985 0
0.00145827 -1.84142 -0.00157216 0
0.00243313 -1.8404 -0.00182882 0
0.00341029 -1.83929 -0.00201924 0
0.00438975 -1.83811 -0.00216072 0
0.00537153 -1.8369 -0.00226857 0
0.00635563 -1.83566 -0.00235391 0
0.00734204 -1.83441 -0.00242307 0
0.00833079 -1.83314 -0.00247969 0
0.00932187 -1.83186 -0.00252643 0
0.0103153 -1.83056 -0.00256552 0
0.011311 -1.82926 -0.00259862 0
0.0123092 -1.82795 -0.00262698 0
0.0133096 -1.82663 -0.00265146 0
0.0143125 -1.82531 -0.00267276 0
0.0153177 -1.82398 -0.00269141 0
0.0163252 -1.82264 -0.00270784 0
0.0173352 -1.82131 -0.00272238 0
0.0183475 -1.81996 -0.00273531 0
0.0193622 -1.81861 -0.00274685 0
0.0203793 -1.81726 -0.00275717 0
0.0213988 -1.8159 -0.00276643 0
0.0224208 -1.81454 -0.00277474 0
0.0234451 -1.81317 -0.00278223 0
0.0244718 -1.8118 -0.00278897 0
0.025501 -1.81042 -0.00279504 0
0.0265326 -1.80905 -0.00280051 0
0.0275667 -1.80766 -0.00280544 0
0.0286031 -1.80628 -0.00280987 0
0.0296421 -1.80489 -0.00281385 0
0.0306834 -1.80349 -0.00281741 0
0.0317273 -1.80209 -0.0028206 0
0.0327736 -1.80069 -0.00282344 0
0.0338223 -1.79929 -0.00282596 0
0.0348736 -1.79788 -0.00282817 0
0.0359273 -1.79647 -0.00283011 0
0.0369835 -1.79505 -0.0028318 0
0.0380422 -1.79363 -0.00283324 0
0.0391034 -1.79221 -0.00283446 0
0.0401671 -1.79078 -0.00283546 0
0.0412333 -1.78935 -0.00283628 0
0.0423021 -1.78791 -0.0028369 0
0.0433733 -1.78647 -0.00283736 0
0.0444471 -1.78503 -0.00283764 0
0.0455234 -1.78359 -0.00283778 0
0.0466023 -1.78214 -0.00283777 0
0.0476837 -1.78068 -0.00283761 0
0.0487676 -1.77923 -0.00283733 0
0.0498542 -1.77777 -0.00283693 0
0.0509432 -1.7763 -0.0028364 0
0.0520349 -1.77484 -0.00283576 0
0.0531291 -1.77336 -0.00283502 0
0.0542259 -1.77189 -0.00283417 0
0.0553253 -1.77041 -0.00283323 0
0.0564273 -1.76893 -0.00283219 0
0.0575319 -1.76744 -0.00283107 0
0.0586391 -1.76595 -0.00282986 0
0.0597489 -1.76446 -0.00282857 0
0.0608614 -1.76296 -0.0028272 0
0.0619764 -1.76146 -0.00282575 0
0.0630941 -1.75996 -0.00282423 0
0.0642144 -1.75845 -0.00282265 0
0.0653374 -1.75694 -0.00282099 0
0.066463 -1.75543 -0.00281927 0
0.0675913 -1.75391 -0.00281749 0
0.0687222 -1.75239 -0.00281566 0
0.0698559 -1.75086 -0.00281376 0
0.0709921 -1.74933 -0.00281181 0
0.0721311 -1.7478 -0.0028098 0
0.0732728 -1.74626 -0.00280774 0
0.0744171 -1.74472 -0.00280564 0
0.0755642 -1.74318 -0.00280348 0
0.0767139 -1.74163 -0.00280128 0
0.0778664 -1.74008 -0.00279903 0
0.0790216 -1.73852 -0.00279674 0
0.0801795 -1.73696 -0.0027944 0
0.0813402 -1.7354 -0.00279203 0
0.0825035 -1.73383 -0.00278961 0
0.0836697 -1.73226 -0.00278715 0
0.0848386 -1.73069 -0.00278466 0
0.0860102 -1.72911 -0.00278213 0
0.0871846 -1.72753 -0.00277956 0
0.0883618 -1.72594 -0.00277696 0
0.0895418 -1.72435 -0.00277432 0
0.0907245 -1.72276 -0.00277165 0
0.0919101 -1.72116 -0.00276894 0
0.0930984 -1.71956 -0.00276621 0
0.0942895 -1.71796 -0.00276344 0
0.0954835 -1.71635 -0.00276065 0
0.0966803 -1.71474 -0.00275782 0
0.0978799 -1.71312 -0.00275496 0
0.0990823 -1.7115 -0.00275208 0
0.100288 -1.70988 -0.00274917 0
0.101496 -1.70825 -0.00274623 0
0.102707 -1.70662 -0.00274326 0
0.10392 -1.70498 -0.00274027 0
0.105137 -1.70334 -0.00273725 0
0.106357 -1.7017 -0.00273421 0
0.107579 -1.70005 -0.00273114 0
0.108804 -1.6984 -0.00272805 0
0.110033 -1.69675 -0.00272493 0
0.111264 -1.69509 -0.00272179 0
0.112498 -1.69342 -0.00271863 0
0.113735 -1.69176 -0.00271544 0
0.114975 -1.69009 -0.00271223 0
0.116217 -1.68841 -0.002709 0
0.117463 -1.68673 -0.00270575 0
0.118712 -1.68505 -0.00270248 0
0.119963 -1.68337 -0.00269918 0
0.121218 -1.68168 -0.00269586 0
0.122475 -1.67998 -0.00269252 0
0.123736 -1.67828 -0.00268916 0
0.124999 -1.67658 -0.00268579 0
0.126266 -1.67488 -0.00268239 0
0.127535 -1.67317 -0.00267896 0
0.128807 -1.67145 -0.00267552 0
0.130083 -1.66973 -0.00267206 0
0.131361 -1.66801 -0.00266858 0
0.132643 -1.66628 -0.00266508 0
0.133927 -1.66455 -0.00266157 0
0.135215 -1.66282 -0.00265803 0
0.136505 -1.66108 -0.00265447 0
0.137799 -1.65934 -0.00265089 0
0.139096 -1.65759 -0.00264729 0
0.140395 -1.65584 -0.00264368 0
0.141698 -1.65409 -0.00264004 0
0.143004 -1.65233 -0.00263638 0
0.144313 -1.65057 -0.00263271 0
0.145625 -1.6488 -0.00262901 0
0.14694 -1.64703 -0.0026253 0
0.148258 -1.64525 -0.00262157 0
0.149579 -1.64348 -0.00261781 0
0.150904 -1.64169 -0.00261404 0
0.152231 -1.63991 -0.00261024 0
0.153562 -1.63811 -0.00260643 0
0.154896 -1.63632 -0.0026026 0
0.156233 -1.63452 -0.00259874 0
0.157573 -1.63272 -0.00259487 0
0.158916 -1.63091 -0.00259097 0
0.160263 -1.6291 -0.00258705 0
0.161613 -1.62728 -0.00258311 0
0.162965 -1.62546 -0.00257915 0
0.164321 -1.62364 -0.00257516 0
0.165681 -1.62181 -0.00257116 0
0.167043 -1.61998 -0.00256713 0
0.168409 -1.61814 -0.00256308 0
0.169778 -1.6163 -0.002559 0
0.17115 -1.61446 -0.0025549 0
0.172525 -1.61261 -0.00255077 0
0.173904 -1.61075 -0.00254662 0
0.175286 -1.6089 -0.00254244 0
0.176671 -1.60704 -0.00253824 0
0.178059 -1.60517 -0.00253401 0
0.179451 -1.6033 -0.00252975 0
0.180846 -1.60143 -0.00252546 0
0.182244 -1.59955 -0.00252115 0
0.183646 -1.59767 -0.0025168 0
0.18505 -1.59578 -0.00251242 0
0.186459 -1.5939 -0.00250801 0
0.18787 -1.592 -0.00250357 0
0.189285 -1.5901 -0.00249909 0
0.190703 -1.5882 -0.00249458 0
0.192124 -1.5863 -0.00249004 0
0.193549 -1.58439 -0.00248545 0
0.194978 -1.58247 -0.00248083 0
0.196409 -1.58056 -0.00247617 0
0.197844 -1.57864 -0.00247147 0
0.199282 -1.57671 -0.00246672 0
0.200724 -1.57478 -0.00246193 0
0.202169 -1.57285 -0.0024571 0
0.203618 -1.57091 -0.00245222 0
