# ccx y+
0.000485708 0.0309977
0.00145827 0.0278053
0.00243313 0.0282225
0.00341029 0.0281
0.00438975 0.0620309
0.00537153 1.89297
0.00635563 4.6512
0.00734204 6.47101
0.00833079 7.45479
0.00932187 8.1184
0.0103153 8.37567
0.011311 8.28721
0.0123092 8.09051
0.0133096 7.94242
0.0143125 7.78436
0.0153177 7.70363
0.0163252 7.67606
0.0173352 7.67231
0.0183475 7.62746
0.0193622 7.63563
0.0203793 7.72264
0.0213988 7.91029
0.0224208 8.11701
0.0234451 8.32052
0.0244718 8.48989
0.025501 8.64128
0.0265326 8.74525
0.0275667 8.83646
0.0286031 8.90043
0.0296421 8.95837
0.0306834 9.01141
0.0317273 9.0565
0.0327736 9.0912
0.0338223 9.10994
0.0348736 9.12581
0.0359273 9.13034
0.0369835 9.12919
0.0380422 9.12026
0.0391034 9.1034
0.0401671 9.08118
0.0412333 9.05517
0.0423021 9.03265
0.0433733 9.01459
0.0444471 8.99843
0.0455234 8.9835
0.0466023 8.9738
0.0476837 8.96808
0.0487676 8.96653
0.0498542 8.96871
0.0509432 8.97736
0.0520349 8.98844
0.0531291 8.99983
0.0542259 9.01028
0.0553253 9.01896
0.0564273 9.02501
0.0575319 9.02996
0.0586391 9.03216
0.0597489 9.03213
0.0608614 9.02982
0.0619764 9.02615
0.0630941 9.02237
0.0642144 9.01816
0.0653374 9.01459
0.066463 9.01157
0.0675913 9.00966
0.0687222 9.00852
0.0698559 9.0087
0.0709921 9.00972
0.0721311 9.01133
0.0732728 9.01261
0.0744171 9.01289
0.0755642 9.01281
0.0767139 9.01179
0.0778664 9.00994
0.0790216 9.00632
0.0801795 9.00149
0.0813402 8.99577
0.0825035 8.98965
0.0836697 8.98326
0.0848386 8.97705
0.0860102 8.97111
0.0871846 8.9657
0.0883618 8.9609
0.0895418 8.95695
0.0907245 8.95426
0.0919101 8.95234
0.0930984 8.9512
0.0942895 8.95008
0.0954835 8.94964
0.0966803 8.94922
0.0978799 8.94872
0.0990823 8.94802
0.100288 8.94707
