# ccx y+
0.000485708 0.288605
0.00145827 1.25511
0.00243313 1.63146
0.00341029 1.64903
0.00438975 1.64702
0.00537153 1.63554
0.00635563 1.61632
0.00734204 1.59865
0.00833079 1.57994
0.00932187 1.56246
0.0103153 1.54552
0.011311 1.52987
0.0123092 1.51492
0.0133096 1.50112
0.0143125 1.48788
0.0153177 1.47565
0.0163252 1.46386
0.0173352 1.45282
0.0183475 1.44225
0.0193622 1.43223
0.0203793 1.42272
0.0213988 1.41355
0.0224208 1.40487
0.0234451 1.39647
0.0244718 1.38847
0.025501 1.38081
0.0265326 1.37342
0.0275667 1.36633
0.0286031 1.35952
0.0296421 1.35294
0.0306834 1.34662
0.0317273 1.34052
0.0327736 1.33459
0.0338223 1.32888
0.0348736 1.32334
0.0359273 1.31795
0.0369835 1.31272
0.0380422 1.30762
0.0391034 1.30266
0.0401671 1.29782
0.0412333 1.29311
0.0423021 1.28851
0.0433733 1.28404
0.0444471 1.27967
0.0455234 1.27541
0.0466023 1.27124
0.0476837 1.26717
0.0487676 1.2632
0.0498542 1.25932
0.0509432 1.25552
0.0520349 1.25181
0.0531291 1.24818
0.0542259 1.24462
0.0553253 1.24114
0.0564273 1.23773
0.0575319 1.23438
0.0586391 1.2311
0.0597489 1.22788
0.0608614 1.22472
0.0619764 1.22161
0.0630941 1.21856
0.0642144 1.21556
0.0653374 1.21261
0.066463 1.20971
0.0675913 1.20685
0.0687222 1.20404
0.0698559 1.20128
0.0709921 1.19856
0.0721311 1.19588
0.0732728 1.19324
0.0744171 1.19064
0.0755642 1.18808
0.0767139 1.18555
0.0778664 1.18307
0.0790216 1.18061
0.0801795 1.1782
0.0813402 1.17581
0.0825035 1.17346
0.0836697 1.17114
0.0848386 1.16885
0.0860102 1.16659
0.0871846 1.16435
0.0883618 1.16215
0.0895418 1.15998
0.0907245 1.15783
0.0919101 1.15571
0.0930984 1.15361
0.0942895 1.15154
0.0954835 1.1495
0.0966803 1.14748
0.0978799 1.14548
0.0990823 1.14351
0.100288 1.14156
0.101496 1.13963
0.102707 1.13772
0.10392 1.13584
0.105137 1.13397
0.106357 1.13213
0.107579 1.13031
0.108804 1.1285
0.110033 1.12672
0.111264 1.12495
0.112498 1.1232
0.113735 1.12147
0.114975 1.11976
0.116217 1.11806
0.117463 1.11638
0.118712 1.11472
0.119963 1.11308
0.121218 1.11145
0.122475 1.10983
0.123736 1.10823
0.124999 1.10665
0.126266 1.10508
0.127535 1.10353
0.128807 1.10199
0.130083 1.10046
0.131361 1.09895
0.132643 1.09746
0.133927 1.09597
0.135215 1.0945
0.136505 1.09304
0.137799 1.09159
0.139096 1.09016
