# ccx y+
0.000485708 2.25823
0.00145827 1.44301
0.00243313 1.23179
0.00341029 1.12556
0.00438975 1.05888
0.00537153 1.00868
0.00635563 0.968227
0.00734204 0.934765
0.00833079 0.906397
0.00932187 0.881821
0.0103153 0.860189
0.011311 0.84092
0.0123092 0.823588
0.0133096 0.807869
0.0143125 0.793508
0.0153177 0.780307
0.0163252 0.768106
0.0173352 0.756775
0.0183475 0.746209
0.0193622 0.736317
0.0203793 0.727026
0.0213988 0.718272
0.0224208 0.710001
0.0234451 0.702167
0.0244718 0.69473
0.025501 0.687653
0.0265326 0.680907
0.0275667 0.674464
0.0286031 0.668301
0.0296421 0.662395
0.0306834 0.656728
0.0317273 0.651283
0.0327736 0.646044
0.0338223 0.640997
0.0348736 0.63613
0.0359273 0.631431
0.0369835 0.62689
0.0380422 0.622498
0.0391034 0.618245
0.0401671 0.614125
0.0412333 0.610128
0.0423021 0.60625
0.0433733 0.602482
0.0444471 0.598821
0.0455234 0.59526
0.0466023 0.591794
0.0476837 0.588419
0.0487676 0.58513
0.0498542 0.581924
0.0509432 0.578796
0.0520349 0.575744
0.0531291 0.572763
0.0542259 0.569851
0.0553253 0.567005
0.0564273 0.564223
0.0575319 0.561501
0.0586391 0.558837
0.0597489 0.556229
0.0608614 0.553675
0.0619764 0.551172
0.0630941 0.54872
0.0642144 0.546315
0.0653374 0.543957
0.066463 0.541644
0.0675913 0.539373
0.0687222 0.537144
0.0698559 0.534956
0.0709921 0.532806
0.0721311 0.530694
0.0732728 0.528618
0.0744171 0.526577
0.0755642 0.524571
0.0767139 0.522597
0.0778664 0.520656
0.0790216 0.518745
0.0801795 0.516865
0.0813402 0.515014
0.0825035 0.513192
0.0836697 0.511397
0.0848386 0.509629
0.0860102 0.507887
0.0871846 0.506171
0.0883618 0.504479
0.0895418 0.502811
0.0907245 0.501166
0.0919101 0.499545
0.0930984 0.497945
0.0942895 0.496367
0.0954835 0.49481
0.0966803 0.493274
0.0978799 0.491758
0.0990823 0.490261
0.100288 0.488783
0.101496 0.487324
0.102707 0.485883
0.10392 0.48446
0.105137 0.483054
0.106357 0.481665
0.107579 0.480293
0.108804 0.478936
0.110033 0.477596
0.111264 0.476271
0.112498 0.474961
0.113735 0.473666
0.114975 0.472385
0.116217 0.471119
0.117463 0.469866
0.118712 0.468627
0.119963 0.467402
0.121218 0.466189
0.122475 0.464989
0.123736 0.463802
0.124999 0.462627
0.126266 0.461464
0.127535 0.460313
0.128807 0.459173
0.130083 0.458045
0.131361 0.456927
0.132643 0.455821
0.133927 0.454726
0.135215 0.453641
0.136505 0.452566
0.137799 0.451501
0.139096 0.450446
0.140395 0.449401
0.141698 0.448366
0.143004 0.44734
0.144313 0.446324
0.145625 0.445316
0.14694 0.444317
0.148258 0.443328
0.149579 0.442346
0.150904 0.441374
0.152231 0.440409
0.153562 0.439453
0.154896 0.438505
0.156233 0.437565
0.157573 0.436633
0.158916 0.435708
0.160263 0.434791
0.161613 0.433882
0.162965 0.432979
0.164321 0.432084
0.165681 0.431196
0.167043 0.430315
0.168409 0.429441
0.169778 0.428574
0.17115 0.427714
0.172525 0.42686
0.173904 0.426012
0.175286 0.425171
0.176671 0.424336
0.178059 0.423507
0.179451 0.422685
0.180846 0.421868
0.182244 0.421058
0.183646 0.420253
0.18505 0.419454
0.186459 0.418661
0.18787 0.417873
0.189285 0.417091
0.190703 0.416314
0.192124 0.415543
0.193549 0.414777
0.194978 0.414016
0.196409 0.41326
0.197844 0.41251
0.199282 0.411764
0.200724 0.411024
0.202169 0.410288
0.203618 0.409557
0.20507 0.408831
