# ccx tau_xx tau_yy tau_zz
0.000485708 -18.4779 -0.102383 0
0.00145827 -18.1103 -0.147556 0
0.00243313 -17.7061 -0.175883 0
0.00341029 -17.2781 -0.192248 0
0.00438975 -16.8386 -0.201277 0
0.00537153 -16.3974 -0.205746 0
0.00635563 -15.9582 -0.207234 0
0.00734204 -15.5221 -0.206725 0
0.00833079 -15.0895 -0.204851 0
0.00932187 -14.6611 -0.202019 0
0.0103153 -14.2374 -0.198507 0
0.011311 -13.8186 -0.19451 0
0.0123092 -13.4049 -0.190166 0
0.0133096 -12.9964 -0.185573 0
0.0143125 -12.5933 -0.180804 0
0.0153177 -12.1957 -0.175913 0
0.0163252 -11.8037 -0.170939 0
0.0173352 -11.4175 -0.165913 0
0.0183475 -11.037 -0.160853 0
0.0193622 -10.6626 -0.155773 0
0.0203793 -10.2942 -0.150681 0
0.0213988 -9.93227 -0.14558 0
0.0224208 -9.57685 -0.140466 0
0.0234451 -9.2283 -0.135327 0
0.0244718 -8.88692 -0.130149 0
0.025501 -8.55318 -0.124905 0
0.0265326 -8.22753 -0.119559 0
0.0275667 -7.91074 -0.114087 0
0.0286031 -7.60353 -0.108425 0
0.0296421 -7.30716 -0.102514 0
0.0306834 -7.0228 -0.0964606 0
0.0317273 -6.75262 -0.0902716 0
0.0327736 -6.49814 -0.0835413 0
0.0338223 -6.26158 -0.0761388 0
0.0348736 -6.04353 -0.0680706 0
0.0359273 -5.84585 -0.0594441 0
0.0369835 -5.66856 -0.0504212 0
0.0380422 -5.51265 -0.0411274 0
0.0391034 -5.37792 -0.0317228 0
0.0401671 -5.26472 -0.0222989 0
0.0412333 -5.17283 -0.0129425 0
0.0423021 -5.10226 -0.00369867 0
0.0433733 -5.05277 0.00540838 0
0.0444471 -5.02424 0.014331 0
0.0455234 -5.01617 0.0231598 0
0.0466023 -5.02921 0.0315634 0
0.0476837 -5.0606 0.0387228 0
0.0487676 -5.1063 0.0443738 0
0.0498542 -5.16433 0.0488266 0
0.0509432 -5.23277 0.05237 0
0.0520349 -5.3097 0.0552015 0
0.0531291 -5.39357 0.0574522 0
0.0542259 -5.48308 0.0592204 0
0.0553253 -5.57721 0.06059 0
0.0564273 -5.67507 0.0616349 0
0.0575319 -5.77593 0.0624142 0
0.0586391 -5.87914 0.0629737 0
0.0597489 -5.98421 0.0633474 0
0.0608614 -6.09063 0.0635596 0
0.0619764 -6.19804 0.0636271 0
0.0630941 -6.30604 0.063561 0
0.0642144 -6.41433 0.0633679 0
0.0653374 -6.52258 0.0630516 0
0.066463 -6.63053 0.062614 0
