# ccx y+
0.000485708 11.1815
0.00145827 9.52551
0.00243313 8.4268
0.00341029 7.81033
0.00438975 7.50648
0.00537153 7.35607
0.00635563 7.26882
0.00734204 7.19121
0.00833079 7.11426
0.00932187 7.03792
0.0103153 6.96319
0.011311 6.89219
0.0123092 6.82615
0.0133096 6.76537
0.0143125 6.70947
0.0153177 6.65796
0.0163252 6.61059
0.0173352 6.56684
0.0183475 6.52578
0.0193622 6.48684
0.0203793 6.45036
0.0213988 6.4164
0.0224208 6.3846
0.0234451 6.3548
0.0244718 6.32663
0.025501 6.29992
0.0265326 6.27451
0.0275667 6.25037
0.0286031 6.22728
0.0296421 6.20496
0.0306834 6.18332
0.0317273 6.16235
0.0327736 6.1421
0.0338223 6.12255
0.0348736 6.10363
0.0359273 6.08529
0.0369835 6.06744
0.0380422 6.05011
0.0391034 6.03329
0.0401671 6.017
0.0412333 6.00121
0.0423021 5.98595
0.0433733 5.97117
0.0444471 5.95679
0.0455234 5.94277
0.0466023 5.92908
0.0476837 5.91573
0.0487676 5.90271
0.0498542 5.89002
0.0509432 5.87766
0.0520349 5.86563
0.0531291 5.85387
0.0542259 5.84235
0.0553253 5.83107
0.0564273 5.82001
0.0575319 5.80919
0.0586391 5.79858
0.0597489 5.78822
0.0608614 5.77808
0.0619764 5.76815
0.0630941 5.75839
0.0642144 5.7488
0.0653374 5.73938
0.066463 5.73013
0.0675913 5.72104
0.0687222 5.71212
0.0698559 5.70337
0.0709921 5.69478
0.0721311 5.68632
0.0732728 5.67799
0.0744171 5.6698
0.0755642 5.66172
0.0767139 5.65377
0.0778664 5.64595
0.0790216 5.63826
0.0801795 5.63069
0.0813402 5.62323
0.0825035 5.61587
0.0836697 5.60862
0.0848386 5.60146
0.0860102 5.5944
0.0871846 5.58744
0.0883618 5.58057
0.0895418 5.57381
0.0907245 5.56714
0.0919101 5.56055
0.0930984 5.55404
0.0942895 5.54761
0.0954835 5.54126
0.0966803 5.53499
0.0978799 5.5288
0.0990823 5.52269
0.100288 5.51665
0.101496 5.51069
0.102707 5.50479
0.10392 5.49895
0.105137 5.49318
0.106357 5.48747
0.107579 5.48183
0.108804 5.47626
0.110033 5.47074
0.111264 5.46529
0.112498 5.4599
0.113735 5.45455
0.114975 5.44926
0.116217 5.44403
0.117463 5.43885
0.118712 5.43372
0.119963 5.42865
0.121218 5.42363
0.122475 5.41866
0.123736 5.41373
0.124999 5.40885
0.126266 5.40401
0.127535 5.39922
0.128807 5.39448
0.130083 5.38978
0.131361 5.38513
0.132643 5.38051
0.133927 5.37594
0.135215 5.37141
0.136505 5.36691
0.137799 5.36246
0.139096 5.35804
0.140395 5.35366
0.141698 5.34928
0.143004 5.34485
0.144313 5.34042
0.145625 5.33602
0.14694 5.33168
0.148258 5.32737
0.149579 5.3231
0.150904 5.31886
0.152231 5.31466
0.153562 5.3105
0.154896 5.30637
0.156233 5.30227
0.157573 5.2982
0.158916 5.29416
0.160263 5.29015
0.161613 5.28618
0.162965 5.28223
0.164321 5.27832
0.165681 5.27443
0.167043 5.27057
0.168409 5.26675
0.169778 5.26294
0.17115 5.25917
0.172525 5.25542
0.173904 5.2517
0.175286 5.248
0.176671 5.24433
0.178059 5.24069
0.179451 5.23707
0.180846 5.23347
0.182244 5.2299
0.183646 5.22635
0.18505 5.22283
0.186459 5.21933
0.18787 5.21585
0.189285 5.2124
0.190703 5.20896
0.192124 5.20555
0.193549 5.20216
0.194978 5.19879
0.196409 5.19544
0.197844 5.19212
0.199282 5.18881
0.200724 5.18552
0.202169 5.18226
0.203618 5.17901
0.20507 5.17578
0.206525 5.17257
0.207903 5.16957
0.209207 5.16673
0.210526 5.16389
0.211859 5.16104
0.213207 5.15818
0.214569 5.15531
0.215947 5.15243
0.217339 5.14954
0.218746 5.14664
0.220168 5.14373
0.221606 5.14081
0.22306 5.13788
0.224529 5.13495
0.226015 5.132
0.227516 5.12905
0.229034 5.12608
0.230569 5.12311
0.23212 5.12013
0.233687 5.11714
0.235272 5.11414
0.236875 5.11113
0.238494 5.10812
0.240131 5.10509
0.241786 5.10206
0.243459 5.09902
0.24515 5.09597
0.24686 5.09291
0.248588 5.08984
0.250335 5.08677
0.252101 5.08368
0.253886 5.08059
0.25569 5.0775
0.257514 5.07439
0.259358 5.07127
0.261222 5.06815
0.263106 5.06502
0.265011 5.06188
0.266937 5.05874
0.268883 5.05559
0.27085 5.05243
0.272839 5.04926
0.27485 5.04609
0.276882 5.0429
0.278936 5.03972
0.281013 5.03652
0.283113 5.03332
0.285235 5.03011
0.28738 5.02689
0.289548 5.02367
0.291741 5.02044
0.293956 5.0172
0.296196 5.01396
0.298461 5.01071
0.30075 5.00746
0.303064 5.0042
0.305403 5.00093
0.307767 4.99766
0.310157 4.99438
0.312573 4.99109
0.315016 4.9878
0.317485 4.9845
0.31998 4.9812
0.322503 4.97789
0.325053 4.97458
0.327632 4.97126
0.330238 4.96793
0.332872 4.9646
0.335535 4.96127
0.338227 4.95793
0.340948 4.95458
0.343699 4.95123
0.346479 4.94788
0.34929 4.94452
0.352132 4.94115
0.355004 4.93778
0.357908 4.93441
0.360843 4.93103
0.36381 4.92764
0.366809 4.92426
0.369841 4.92086
0.372906 4.91747
0.376004 4.91407
0.379136 4.91066
0.382302 4.90725
0.385502 4.90384
0.388737 4.90043
0.392007 4.89701
0.395313 4.89358
0.398654 4.89015
0.402032 4.88672
0.405447 4.88329
0.408899 4.87985
0.412388 4.87641
0.415916 4.87297
0.419481 4.86952
0.423086 4.86607
0.426729 4.86261
0.430412 4.85916
0.434136 4.8557
0.437899 4.85223
0.441704 4.84877
0.44555 4.8453
0.449437 4.84183
0.453367 4.83836
0.45734 4.83488
0.461356 4.8314
0.465415 4.82792
0.469519 4.82444
0.473667 4.82096
0.477861 4.81747
0.4821 4.81398
0.486385 4.81049
0.490716 4.807
0.495095 4.8035
0.499521 4.80001
0.503995 4.79651
0.508518 4.79301
0.51309 4.78951
0.517712 4.78601
0.522384 4.7825
0.527107 4.779
0.531881 4.77549
0.536707 4.77199
0.541586 4.76848
0.546518 4.76497
0.551503 4.76146
0.556542 4.75794
0.561636 4.75443
0.566786 4.75092
0.571991 4.7474
0.577253 4.74389
0.582572 4.74037
0.587949 4.73686
0.593385 4.73334
0.59888 4.72982
0.604434 4.72631
0.610048 4.72279
0.615724 4.71927
0.621462 4.71575
0.627261 4.71223
0.633124 4.70872
0.639051 4.7052
0.645042 4.70168
0.651098 4.69816
0.657219 4.69464
0.663408 4.69112
0.669664 4.68761
0.675987 4.68409
0.68238 4.68057
0.688842 4.67704
0.695374 4.67349
0.701977 4.66995
0.708652 4.6664
0.715399 4.66285
0.72222 4.6593
0.729115 4.65576
0.736085 4.65222
0.74313 4.64868
0.750252 4.64513
0.757452 4.64159
0.76473 4.63806
0.772087 4.63452
0.779524 4.63098
0.787042 4.62745
0.794641 4.62391
0.802323 4.62038
0.810089 4.61685
0.817939 4.61332
0.825874 4.60979
0.833896 4.60627
0.842004 4.60274
0.850201 4.59922
0.858487 4.5957
0.866863 4.59218
0.87533 4.58866
0.883889 4.58515
0.892542 4.58163
0.901288 4.57812
0.910129 4.57461
0.919066 4.57111
0.928101 4.5676
0.93826 4.5637
0.949496 4.55946
0.960731 4.55527
0.971966 4.55113
0.983202 4.54705
0.994437 4.54303
1.00567 4.53905
1.01691 4.53513
1.02814 4.53126
1.03938 4.52744
1.05061 4.52366
1.06185 4.51993
1.07308 4.51625
1.08432 4.51262
1.09555 4.50902
1.10679 4.50547
1.11803 4.50196
1.12926 4.49849
1.1405 4.49507
1.15173 4.49168
1.16297 4.48833
1.1742 4.48501
1.18544 4.48174
1.19667 4.4785
1.20791 4.47529
1.21914 4.47212
1.23038 4.46899
1.24161 4.46588
1.25285 4.46282
1.26409 4.45978
1.27532 4.45677
1.28656 4.45379
1.29779 4.45085
1.30903 4.44793
1.32026 4.44505
1.3315 4.44219
1.34273 4.43936
1.35397 4.43656
1.3652 4.43378
1.37644 4.43103
1.38767 4.42831
1.39891 4.42561
1.41014 4.42295
1.42138 4.4203
1.43262 4.41768
1.44385 4.41508
1.45509 4.4125
1.46632 4.40995
1.47756 4.40742
1.48879 4.40491
1.50003 4.40243
1.51126 4.39996
1.5225 4.39753
1.53373 4.3951
1.54497 4.3927
1.5562 4.39032
1.56744 4.38796
1.57867 4.38562
1.58991 4.3833
1.60115 4.381
1.61238 4.37872
1.62362 4.37645
1.63485 4.3742
1.64609 4.37197
1.65732 4.36976
1.66856 4.36756
1.67979 4.36539
1.69103 4.36322
1.70226 4.36109
1.7135 4.35895
1.72473 4.35685
1.73597 4.35474
1.7472 4.35267
1.75844 4.35059
1.76968 4.34855
1.78091 4.3465
1.79215 4.3445
1.80338 4.34247
1.81462 4.3405
1.82585 4.33849
1.83709 4.33655
1.84832 4.33457
1.85956 4.33265
1.87079 4.33069
1.88203 4.3288
1.89326 4.32687
1.9045 4.32497
1.91573 4.32313
1.92697 4.32111
1.93821 4.31953
1.94944 4.31704
1.96068 4.31635
1.97191 4.31239
1.98315 4.31399
1.99438 4.30839
