# ccx y+
0.000485708 4.70552
0.00145827 3.13972
0.00243313 2.65641
0.00341029 2.49205
0.00438975 2.45275
0.00537153 2.45447
0.00635563 2.44445
0.00734204 2.42212
0.00833079 2.39668
0.00932187 2.37317
0.0103153 2.35287
0.011311 2.33554
0.0123092 2.32036
0.0133096 2.30679
0.0143125 2.29421
0.0153177 2.28231
0.0163252 2.27104
0.0173352 2.26027
0.0183475 2.24996
0.0193622 2.24016
0.0203793 2.23082
0.0213988 2.22192
0.0224208 2.21342
0.0234451 2.20534
0.0244718 2.19763
0.025501 2.19027
0.0265326 2.18322
0.0275667 2.17648
0.0286031 2.16989
0.0296421 2.16339
0.0306834 2.15711
0.0317273 2.15107
0.0327736 2.14525
0.0338223 2.13964
0.0348736 2.13422
0.0359273 2.12899
0.0369835 2.12391
0.0380422 2.11899
0.0391034 2.11422
0.0401671 2.10959
0.0412333 2.10509
0.0423021 2.10072
0.0433733 2.09646
0.0444471 2.09231
0.0455234 2.08827
0.0466023 2.08433
0.0476837 2.08049
0.0487676 2.07673
0.0498542 2.07305
0.0509432 2.06943
0.0520349 2.06588
0.0531291 2.06238
0.0542259 2.05894
0.0553253 2.05557
0.0564273 2.05226
0.0575319 2.04902
0.0586391 2.04583
0.0597489 2.0427
0.0608614 2.03963
0.0619764 2.03661
0.0630941 2.03365
0.0642144 2.03073
0.0653374 2.02787
0.066463 2.02505
0.0675913 2.02227
0.0687222 2.01954
0.0698559 2.01685
0.0709921 2.01421
0.0721311 2.0116
0.0732728 2.00903
0.0744171 2.00649
0.0755642 2.00399
0.0767139 2.00152
0.0778664 1.99909
0.0790216 1.99669
0.0801795 1.99433
0.0813402 1.992
0.0825035 1.98971
0.0836697 1.98744
0.0848386 1.9852
0.0860102 1.983
0.0871846 1.98082
0.0883618 1.97866
0.0895418 1.97654
0.0907245 1.97444
0.0919101 1.97237
0.0930984 1.97032
0.0942895 1.9683
0.0954835 1.9663
0.0966803 1.96433
0.0978799 1.96238
0.0990823 1.96045
0.100288 1.95854
0.101496 1.95665
0.102707 1.95479
0.10392 1.95295
0.105137 1.95112
0.106357 1.94932
0.107579 1.94753
0.108804 1.94576
0.110033 1.94401
0.111264 1.94228
0.112498 1.94057
0.113735 1.93887
0.114975 1.93719
0.116217 1.93553
0.117463 1.93388
0.118712 1.93225
0.119963 1.93064
0.121218 1.92904
0.122475 1.92746
0.123736 1.92589
0.124999 1.92433
0.126266 1.92279
0.127535 1.92126
0.128807 1.91975
0.130083 1.91825
0.131361 1.91676
0.132643 1.91529
0.133927 1.91383
0.135215 1.91238
0.136505 1.91094
0.137799 1.90952
0.139096 1.9081
0.140395 1.9067
0.141698 1.90531
0.143004 1.90393
0.144313 1.90257
0.145625 1.90121
0.14694 1.89987
0.148258 1.89853
0.149579 1.89721
0.150904 1.89589
0.152231 1.89459
0.153562 1.89329
0.154896 1.89201
0.156233 1.89073
0.157573 1.88947
0.158916 1.88821
0.160263 1.88696
0.161613 1.88573
0.162965 1.8845
0.164321 1.88328
0.165681 1.88206
0.167043 1.88086
0.168409 1.87967
0.169778 1.87848
0.17115 1.8773
0.172525 1.87613
0.173904 1.87497
0.175286 1.87381
0.176671 1.87266
0.178059 1.87152
0.179451 1.87039
0.180846 1.86927
0.182244 1.86815
0.183646 1.86704
0.18505 1.86594
0.186459 1.86484
0.18787 1.86375
0.189285 1.86267
0.190703 1.86159
0.192124 1.86052
0.193549 1.85946
0.194978 1.8584
0.196409 1.85735
0.197844 1.85631
0.199282 1.85527
0.200724 1.85424
0.202169 1.85321
0.203618 1.85219
0.20507 1.85118
0.206525 1.85017
0.207903 1.84922
0.209207 1.84833
0.210526 1.84744
0.211859 1.84654
0.213207 1.84564
0.214569 1.84474
0.215947 1.84383
0.217339 1.84293
0.218746 1.84201
0.220168 1.8411
0.221606 1.84018
0.22306 1.83926
0.224529 1.83833
0.226015 1.83741
0.227516 1.83648
0.229034 1.83554
0.230569 1.83461
0.23212 1.83367
0.233687 1.83272
0.235272 1.83178
0.236875 1.83083
0.238494 1.82988
0.240131 1.82893
0.241786 1.82797
0.243459 1.82701
0.24515 1.82605
0.24686 1.82508
0.248588 1.82411
0.250335 1.82314
0.252101 1.82217
0.253886 1.82119
0.25569 1.82022
0.257514 1.81924
0.259358 1.81825
0.261222 1.81726
0.263106 1.81628
0.265011 1.81528
0.266937 1.81429
0.268883 1.81329
0.27085 1.81229
0.272839 1.81129
0.27485 1.81029
0.276882 1.80928
0.278936 1.80827
0.281013 1.80726
0.283113 1.80625
0.285235 1.80523
0.28738 1.80422
0.289548 1.8032
0.291741 1.80217
0.293956 1.80115
0.296196 1.80012
0.298461 1.79909
0.30075 1.79806
0.303064 1.79703
0.305403 1.796
0.307767 1.79496
0.310157 1.79392
0.312573 1.79288
0.315016 1.79183
0.317485 1.79079
0.31998 1.78974
0.322503 1.78869
0.325053 1.78764
0.327632 1.78659
0.330238 1.78554
0.332872 1.78448
0.335535 1.78342
0.338227 1.78236
0.340948 1.7813
0.343699 1.78024
0.346479 1.77917
0.34929 1.7781
0.352132 1.77704
0.355004 1.77597
0.357908 1.77489
0.360843 1.77382
0.36381 1.77275
0.366809 1.77167
0.369841 1.77059
0.372906 1.76951
0.376004 1.76843
0.379136 1.76735
0.382302 1.76627
0.385502 1.76518
0.388737 1.7641
0.392007 1.76301
0.395313 1.76192
0.398654 1.76083
0.402032 1.75974
0.405447 1.75865
0.408899 1.75755
0.412388 1.75646
0.415916 1.75536
0.419481 1.75427
0.423086 1.75317
0.426729 1.75207
0.430412 1.75097
0.434136 1.74987
0.437899 1.74877
0.441704 1.74766
0.44555 1.74656
0.449437 1.74545
0.453367 1.74435
0.45734 1.74324
0.461356 1.74213
0.465415 1.74102
0.469519 1.73991
0.473667 1.7388
0.477861 1.73769
0.4821 1.73658
0.486385 1.73547
0.490716 1.73436
0.495095 1.73324
0.499521 1.73213
0.503995 1.73101
0.508518 1.7299
0.51309 1.72878
0.517712 1.72766
0.522384 1.72654
0.527107 1.72543
0.531881 1.72431
0.536707 1.72319
0.541586 1.72207
0.546518 1.72095
0.551503 1.71983
0.556542 1.71871
0.561636 1.71759
0.566786 1.71646
0.571991 1.71534
0.577253 1.71422
0.582572 1.7131
0.587949 1.71197
