# ccx tau_xx tau_yy tau_zz
0.000485708 -15.2536 -0.0660158 0
0.00145827 -15.142 -0.0905747 0
0.00243313 -15.0222 -0.109354 0
0.00341029 -14.8913 -0.123153 0
0.00438975 -14.7519 -0.132973 0
0.00537153 -14.6081 -0.139994 0
0.00635563 -14.4624 -0.145098 0
0.00734204 -14.3152 -0.148808 0
0.00833079 -14.1667 -0.151441 0
0.00932187 -14.0175 -0.153234 0
0.0103153 -13.8678 -0.154378 0
0.011311 -13.7179 -0.155019 0
0.0123092 -13.568 -0.155262 0
0.0133096 -13.4182 -0.155186 0
0.0143125 -13.2685 -0.154849 0
0.0153177 -13.119 -0.1543 0
0.0163252 -12.9698 -0.153576 0
0.0173352 -12.8209 -0.152707 0
0.0183475 -12.6723 -0.151716 0
0.0193622 -12.5241 -0.150623 0
0.0203793 -12.3763 -0.149444 0
0.0213988 -12.2289 -0.148193 0
0.0224208 -12.0819 -0.14688 0
0.0234451 -11.9354 -0.145515 0
0.0244718 -11.7893 -0.144106 0
0.025501 -11.6437 -0.142659 0
0.0265326 -11.4986 -0.141181 0
0.0275667 -11.3539 -0.139676 0
0.0286031 -11.2097 -0.13815 0
0.0296421 -11.0661 -0.136605 0
0.0306834 -10.9229 -0.135045 0
0.0317273 -10.7803 -0.133474 0
0.0327736 -10.6382 -0.131893 0
0.0338223 -10.4966 -0.130305 0
0.0348736 -10.3556 -0.128713 0
0.0359273 -10.2151 -0.127117 0
0.0369835 -10.0751 -0.12552 0
0.0380422 -9.93572 -0.123923 0
0.0391034 -9.79688 -0.122328 0
0.0401671 -9.65862 -0.120735 0
0.0412333 -9.52093 -0.119146 0
0.0423021 -9.38381 -0.117561 0
0.0433733 -9.24728 -0.115982 0
0.0444471 -9.11134 -0.114408 0
0.0455234 -8.976 -0.112841 0
0.0466023 -8.84126 -0.111281 0
0.0476837 -8.70714 -0.109729 0
0.0487676 -8.57362 -0.108184 0
0.0498542 -8.44073 -0.106648 0
0.0509432 -8.30848 -0.105119 0
0.0520349 -8.17686 -0.103599 0
0.0531291 -8.04589 -0.102087 0
0.0542259 -7.91557 -0.100583 0
0.0553253 -7.78592 -0.0990878 0
0.0564273 -7.65695 -0.0976001 0
0.0575319 -7.52867 -0.0961199 0
0.0586391 -7.40108 -0.094647 0
0.0597489 -7.27421 -0.0931806 0
0.0608614 -7.14806 -0.0917204 0
0.0619764 -7.02265 -0.0902654 0
0.0630941 -6.89801 -0.0888152 0
0.0642144 -6.77413 -0.0873684 0
0.0653374 -6.65106 -0.0859244 0
0.066463 -6.5288 -0.0844819 0
0.0675913 -6.40739 -0.0830401 0
0.0687222 -6.28683 -0.0815978 0
0.0698559 -6.16717 -0.080154 0
0.0709921 -6.04843 -0.0787069 0
0.0721311 -5.93065 -0.0772553 0
0.0732728 -5.81386 -0.0757973 0
0.0744171 -5.69809 -0.0743314 0
0.0755642 -5.58339 -0.0728552 0
0.0767139 -5.46981 -0.0713671 0
0.0778664 -5.35738 -0.0698643 0
0.0790216 -5.24617 -0.0683449 0
0.0801795 -5.13622 -0.0668059 0
0.0813402 -5.02762 -0.0652451 0
0.0825035 -4.92039 -0.063659 0
0.0836697 -4.81466 -0.0620455 0
0.0848386 -4.71044 -0.0604004 0
0.0860102 -4.60789 -0.0587214 0
0.0871846 -4.50702 -0.0570041 0
0.0883618 -4.408 -0.0552458 0
0.0895418 -4.31086 -0.053442 0
0.0907245 -4.21578 -0.0515892 0
0.0919101 -4.1228 -0.0496829 0
0.0930984 -4.03215 -0.0477189 0
0.0942895 -3.94384 -0.0456929 0
0.0954835 -3.85816 -0.043599 0
0.0966803 -3.7751 -0.0414348 0
0.0978799 -3.69501 -0.0391908 0
0.0990823 -3.61788 -0.0368696 0
0.100288 -3.54412 -0.03446 0
0.101496 -3.47372 -0.0319672 0
0.102707 -3.40715 -0.0294343 0
0.10392 -3.34439 -0.0267757 0
0.105137 -3.28591 -0.0239854 0
0.106357 -3.23162 -0.0210565 0
0.107579 -3.18205 -0.0180127 0
