# ccx tau_xx tau_yy tau_zz
0.000485708 -48.5298 -0.935446 0
0.00145827 -19.8316 -0.0945021 0
0.00243313 -14.554 -0.0163857 0
0.00341029 -12.3517 -0.0071761 0
0.00438975 -11.4044 -0.00278654 0
0.00537153 -11.0893 0.000462703 0
0.00635563 -11.5262 0.0023595 0
0.00734204 -12.0559 0.0018485 0
0.00833079 -12.3137 0.000638918 0
0.00932187 -12.3384 -0.000120375 0
0.0103153 -12.2571 -0.000403904 0
0.011311 -12.1473 -0.000460774 0
0.0123092 -12.0366 -0.00045258 0
0.0133096 -11.93 -0.000439126 0
0.0143125 -11.8262 -0.000431496 0
0.0153177 -11.7237 -0.000427528 0
0.0163252 -11.6222 -0.000422974 0
0.0173352 -11.522 -0.000415383 0
0.0183475 -11.424 -0.000403846 0
0.0193622 -11.3292 -0.000389734 0
0.0203793 -11.2378 -0.000374091 0
0.0213988 -11.1502 -0.000357402 0
0.0224208 -11.0665 -0.000340891 0
0.0234451 -10.9866 -0.000324823 0
0.0244718 -10.9104 -0.000310042 0
0.025501 -10.8374 -0.000298345 0
0.0265326 -10.7666 -0.000287108 0
0.0275667 -10.6987 -0.000274762 0
0.0286031 -10.6337 -0.000262707 0
0.0296421 -10.5715 -0.000251341 0
0.0306834 -10.5118 -0.000240928 0
0.0317273 -10.4545 -0.000231181 0
0.0327736 -10.3993 -0.000222072 0
0.0338223 -10.3462 -0.00021374 0
0.0348736 -10.295 -0.000205836 0
0.0359273 -10.2456 -0.0001984 0
0.0369835 -10.1978 -0.000191529 0
0.0380422 -10.1516 -0.000185029 0
0.0391034 -10.1069 -0.000178888 0
0.0401671 -10.0635 -0.000173144 0
0.0412333 -10.0215 -0.000167713 0
0.0423021 -9.98069 -0.000162561 0
0.0433733 -9.94103 -0.000157713 0
0.0444471 -9.90248 -0.000153098 0
0.0455234 -9.86497 -0.000148711 0
0.0466023 -9.82845 -0.000144593 0
0.0476837 -9.79287 -0.000140617 0
0.0487676 -9.7582 -0.000136842 0
0.0498542 -9.72437 -0.000133305 0
0.0509432 -9.69135 -0.000129841 0
0.0520349 -9.65913 -0.000126595 0
0.0531291 -9.62762 -0.000123674 0
0.0542259 -9.59675 -0.000121099 0
0.0553253 -9.56642 -0.000118767 0
0.0564273 -9.53662 -0.000116425 0
0.0575319 -9.50735 -0.000114179 0
0.0586391 -9.47858 -0.000111981 0
0.0597489 -9.45031 -0.000109824 0
0.0608614 -9.42253 -0.000107642 0
0.0619764 -9.39527 -0.000105496 0
0.0630941 -9.36848 -0.000103389 0
0.0642144 -9.34218 -0.000101326 0
0.0653374 -9.31634 -9.93366e-05 0
0.066463 -9.29097 -9.74493e-05 0
0.0675913 -9.266 -9.56936e-05 0
0.0687222 -9.24144 -9.39889e-05 0
0.0698559 -9.21725 -9.23074e-05 0
