# ccx y+
0.000485708 50.5687
0.00145827 49.5753
0.00243313 48.4689
0.00341029 47.3007
0.00438975 46.1028
0.00537153 44.8943
0.00635563 43.6825
0.00734204 42.4695
0.00833079 41.2574
0.00932187 40.049
0.0103153 38.8481
0.011311 37.66
0.0123092 36.4941
0.0133096 35.3664
0.0143125 34.3013
0.0153177 33.3199
0.0163252 32.4447
0.0173352 31.6864
0.0183475 31.0553
0.0193622 30.5453
0.0203793 30.1461
0.0213988 29.8487
0.0224208 29.6439
0.0234451 29.5217
0.0244718 29.4733
0.025501 29.4874
0.0265326 29.5544
0.0275667 29.6658
0.0286031 29.8142
0.0296421 29.9928
0.0306834 30.196
0.0317273 30.4184
0.0327736 30.6557
0.0338223 30.9033
0.0348736 31.1576
0.0359273 31.4149
0.0369835 31.6724
0.0380422 31.927
0.0391034 32.1766
0.0401671 32.419
0.0412333 32.6527
0.0423021 32.8761
0.0433733 33.0885
0.0444471 33.2888
0.0455234 33.4768
0.0466023 33.6519
0.0476837 33.8144
0.0487676 33.9641
0.0498542 34.1013
0.0509432 34.2262
0.0520349 34.3394
0.0531291 34.4408
0.0542259 34.5314
0.0553253 34.6115
0.0564273 34.6816
0.0575319 34.7422
0.0586391 34.7939
0.0597489 34.837
0.0608614 34.8722
0.0619764 34.9
0.0630941 34.9209
0.0642144 34.9353
0.0653374 34.9439
0.066463 34.9473
0.0675913 34.944
0.0687222 34.9343
0.0698559 34.919
0.0709921 34.8988
0.0721311 34.8748
0.0732728 34.8475
0.0744171 34.8177
0.0755642 34.7859
0.0767139 34.7526
0.0778664 34.718
0.0790216 34.6825
0.0801795 34.6463
0.0813402 34.6095
0.0825035 34.5723
0.0836697 34.5346
0.0848386 34.4967
0.0860102 34.4585
0.0871846 34.42
0.0883618 34.3813
0.0895418 34.3424
0.0907245 34.3034
0.0919101 34.2642
0.0930984 34.2251
0.0942895 34.1859
0.0954835 34.1468
0.0966803 34.1078
0.0978799 34.069
0.0990823 34.0302
0.100288 33.9916
0.101496 33.9531
0.102707 33.9149
0.10392 33.8767
0.105137 33.8388
0.106357 33.8012
0.107579 33.7638
0.108804 33.7267
0.110033 33.6899
0.111264 33.6535
0.112498 33.6173
0.113735 33.5815
0.114975 33.5459
0.116217 33.5107
0.117463 33.4757
0.118712 33.441
0.119963 33.4066
0.121218 33.3724
0.122475 33.3384
0.123736 33.3047
0.124999 33.2713
0.126266 33.2381
0.127535 33.2052
0.128807 33.1725
0.130083 33.1401
0.131361 33.1079
0.132643 33.076
0.133927 33.0442
0.135215 33.0127
0.136505 32.9814
0.137799 32.9503
0.139096 32.9194
0.140395 32.8887
0.141698 32.8582
0.143004 32.8279
0.144313 32.7978
0.145625 32.7679
0.14694 32.7383
0.148258 32.7088
0.149579 32.6796
0.150904 32.6506
0.152231 32.6218
0.153562 32.5933
0.154896 32.5649
0.156233 32.5367
0.157573 32.5088
0.158916 32.481
0.160263 32.4535
0.161613 32.4262
0.162965 32.399
0.164321 32.3721
0.165681 32.3454
0.167043 32.3188
0.168409 32.2925
0.169778 32.2664
0.17115 32.2405
0.172525 32.2148
0.173904 32.1894
0.175286 32.1641
0.176671 32.1391
0.178059 32.1143
0.179451 32.0896
0.180846 32.0651
0.182244 32.0409
0.183646 32.0168
0.18505 31.9928
0.186459 31.969
0.18787 31.9454
0.189285 31.9219
0.190703 31.8986
0.192124 31.8753
0.193549 31.8523
0.194978 31.8293
0.196409 31.8066
0.197844 31.784
0.199282 31.7615
0.200724 31.7391
0.202169 31.7169
0.203618 31.6949
0.20507 31.6729
0.206525 31.6511
0.207903 31.6306
0.209207 31.6114
0.210526 31.592
0.211859 31.5726
0.213207 31.5532
0.214569 31.5337
0.215947 31.5141
0.217339 31.4944
0.218746 31.4747
0.220168 31.455
0.221606 31.4352
0.22306 31.4153
0.224529 31.3954
0.226015 31.3755
0.227516 31.3556
0.229034 31.3356
0.230569 31.3155
0.23212 31.2955
0.233687 31.2754
0.235272 31.2552
0.236875 31.235
0.238494 31.2148
0.240131 31.1945
0.241786 31.1742
0.243459 31.1539
0.24515 31.1335
0.24686 31.1131
0.248588 31.0927
0.250335 31.0722
0.252101 31.0518
0.253886 31.0313
0.25569 31.0108
0.257514 30.9902
0.259358 30.9696
0.261222 30.949
0.263106 30.9284
0.265011 30.9077
0.266937 30.8869
0.268883 30.8661
0.27085 30.8453
0.272839 30.8244
0.27485 30.8034
0.276882 30.7825
0.278936 30.7614
0.281013 30.7404
0.283113 30.7193
0.285235 30.6983
0.28738 30.6771
0.289548 30.656
0.291741 30.6349
0.293956 30.6137
0.296196 30.5925
0.298461 30.5713
0.30075 30.55
0.303064 30.5288
0.305403 30.5075
0.307767 30.4862
0.310157 30.4649
0.312573 30.4436
0.315016 30.4223
0.317485 30.4011
0.31998 30.3798
0.322503 30.3585
0.325053 30.3372
0.327632 30.3159
0.330238 30.2946
0.332872 30.2732
0.335535 30.2519
0.338227 30.2305
0.340948 30.2091
0.343699 30.1877
0.346479 30.1662
0.34929 30.1448
0.352132 30.1233
0.355004 30.1019
0.357908 30.0804
0.360843 30.0589
0.36381 30.0374
0.366809 30.0159
0.369841 29.9943
0.372906 29.9728
0.376004 29.9513
0.379136 29.9298
0.382302 29.9083
0.385502 29.8868
0.388737 29.8654
0.392007 29.8439
0.395313 29.8224
0.398654 29.801
0.402032 29.7795
0.405447 29.758
0.408899 29.7366
0.412388 29.7151
0.415916 29.6937
0.419481 29.6722
0.423086 29.6508
0.426729 29.6293
0.430412 29.6078
0.434136 29.5863
0.437899 29.5648
0.441704 29.5434
0.44555 29.5219
0.449437 29.5005
0.453367 29.479
0.45734 29.4576
0.461356 29.4362
0.465415 29.4148
0.469519 29.3934
0.473667 29.372
0.477861 29.3507
0.4821 29.3294
0.486385 29.308
0.490716 29.2867
0.495095 29.2654
0.499521 29.244
0.503995 29.2227
0.508518 29.2014
0.51309 29.1801
0.517712 29.1588
0.522384 29.1375
0.527107 29.1162
0.531881 29.0949
0.536707 29.0737
0.541586 29.0525
0.546518 29.0313
0.551503 29.0101
0.556542 28.989
0.561636 28.9678
0.566786 28.9467
0.571991 28.9255
0.577253 28.9044
0.582572 28.8833
0.587949 28.8622
0.593385 28.8411
0.59888 28.82
0.604434 28.799
0.610048 28.778
0.615724 28.7569
0.621462 28.736
0.627261 28.715
0.633124 28.6941
0.639051 28.6731
0.645042 28.6522
0.651098 28.6313
0.657219 28.6104
0.663408 28.5895
0.669664 28.5686
0.675987 28.5478
0.68238 28.5269
0.688842 28.5061
0.695374 28.4854
0.701977 28.4646
0.708652 28.4439
0.715399 28.4232
0.72222 28.4024
0.729115 28.3818
0.736085 28.3611
0.74313 28.3404
0.750252 28.3198
0.757452 28.2992
0.76473 28.2786
0.772087 28.258
0.779524 28.2375
0.787042 28.2169
0.794641 28.1964
0.802323 28.1759
0.810089 28.1555
0.817939 28.135
0.825874 28.1146
0.833896 28.0942
0.842004 28.0738
0.850201 28.0534
0.858487 28.0331
0.866863 28.0128
0.87533 27.9925
0.883889 27.9722
0.892542 27.952
0.901288 27.9317
0.910129 27.9115
0.919066 27.8913
0.928101 27.8712
0.93826 27.8488
0.949496 27.8243
0.960731 27.8003
0.971966 27.7766
0.983202 27.7532
0.994437 27.7301
1.00567 27.7073
1.01691 27.6848
1.02814 27.6627
1.03938 27.6408
1.05061 27.6192
1.06185 27.5979
1.07308 27.5769
1.08432 27.5561
1.09555 27.5356
1.10679 27.5153
1.11803 27.4953
1.12926 27.4756
1.1405 27.456
1.15173 27.4367
1.16297 27.4176
1.1742 27.3988
1.18544 27.3801
1.19667 27.3617
1.20791 27.3435
1.21914 27.3255
1.23038 27.3076
1.24161 27.29
1.25285 27.2726
1.26409 27.2553
1.27532 27.2383
1.28656 27.2214
1.29779 27.2047
1.30903 27.1881
1.32026 27.1718
1.3315 27.1556
1.34273 27.1395
1.35397 27.1237
1.3652 27.108
1.37644 27.0924
1.38767 27.077
1.39891 27.0617
1.41014 27.0466
1.42138 27.0316
