# ccx y+
0.000485708 146.913
0.00145827 146.379
0.00243313 145.809
0.00341029 145.18
0.00438975 144.504
0.00537153 143.802
0.00635563 143.086
0.00734204 142.358
0.00833079 141.619
0.00932187 140.873
0.0103153 140.12
0.011311 139.361
0.0123092 138.599
0.0133096 137.832
0.0143125 137.061
0.0153177 136.287
0.0163252 135.511
0.0173352 134.731
0.0183475 133.948
0.0193622 133.163
0.0203793 132.375
0.0213988 131.584
0.0224208 130.791
0.0234451 129.996
0.0244718 129.198
0.025501 128.397
0.0265326 127.595
0.0275667 126.79
0.0286031 125.982
0.0296421 125.172
0.0306834 124.36
0.0317273 123.546
0.0327736 122.729
0.0338223 121.909
0.0348736 121.087
0.0359273 120.263
0.0369835 119.437
0.0380422 118.608
0.0391034 117.776
0.0401671 116.942
0.0412333 116.105
0.0423021 115.266
0.0433733 114.425
0.0444471 113.581
0.0455234 112.734
0.0466023 111.885
0.0476837 111.033
0.0487676 110.178
0.0498542 109.321
0.0509432 108.461
0.0520349 107.599
0.0531291 106.733
0.0542259 105.866
0.0553253 104.995
0.0564273 104.122
0.0575319 103.246
0.0586391 102.367
0.0597489 101.486
0.0608614 100.602
0.0619764 99.7159
0.0630941 98.827
0.0642144 97.9357
0.0653374 97.042
0.066463 96.1459
0.0675913 95.2478
0.0687222 94.3475
0.0698559 93.4454
0.0709921 92.5415
0.0721311 91.6361
0.0732728 90.7293
0.0744171 89.8215
0.0755642 88.9129
0.0767139 88.004
0.0778664 87.0949
0.0790216 86.1863
0.0801795 85.2784
0.0813402 84.3721
0.0825035 83.4677
0.0836697 82.5661
0.0848386 81.6677
0.0860102 80.7739
0.0871846 79.8851
0.0883618 79.0028
0.0895418 78.1276
0.0907245 77.2614
0.0919101 76.4049
0.0930984 75.5604
0.0942895 74.7287
0.0954835 73.9126
0.0966803 73.113
0.0978799 72.3335
0.0990823 71.5748
0.100288 70.8418
0.101496 70.1349
0.102707 69.4599
0.10392 68.8175
0.105137 68.2136
0.106357 67.6482
0.107579 67.1279
0.108804 66.6517
0.110033 66.2268
0.111264 65.8511
0.112498 65.5325
0.113735 65.2675
0.114975 65.065
0.116217 64.9203
0.117463 64.8432
0.118712 64.8296
0.119963 64.8983
0.121218 65.0433
0.122475 65.2716
0.123736 65.5755
0.124999 65.9579
0.126266 66.4092
0.127535 66.9285
0.128807 67.5052
0.130083 68.1369
0.131361 68.8112
0.132643 69.5262
0.133927 70.2602
0.135215 71.0065
0.136505 71.76
0.137799 72.515
0.139096 73.2665
0.140395 74.0115
0.141698 74.7479
0.143004 75.4744
0.144313 76.1899
0.145625 76.8937
0.14694 77.5856
0.148258 78.2656
0.149579 78.9336
0.150904 79.59
0.152231 80.2349
0.153562 80.8688
0.154896 81.492
0.156233 82.1047
0.157573 82.7075
0.158916 83.3006
0.160263 83.8842
0.161613 84.4587
0.162965 85.0243
0.164321 85.5812
0.165681 86.1297
0.167043 86.6697
0.168409 87.2015
0.169778 87.7251
0.17115 88.2406
0.172525 88.7481
0.173904 89.2476
0.175286 89.7391
0.176671 90.2226
0.178059 90.6981
0.179451 91.1656
0.180846 91.6251
0.182244 92.0765
0.183646 92.5199
0.18505 92.9552
0.186459 93.3823
0.18787 93.8014
0.189285 94.2123
0.190703 94.615
0.192124 95.0096
0.193549 95.396
0.194978 95.7742
0.196409 96.1443
0.197844 96.5062
0.199282 96.8601
0.200724 97.2059
0.202169 97.5437
0.203618 97.8735
0.20507 98.1954
0.206525 98.5094
0.207903 98.7988
0.209207 99.0659
0.210526 99.3292
0.211859 99.5885
0.213207 99.8438
0.214569 100.095
0.215947 100.342
0.217339 100.584
0.218746 100.823
0.220168 101.057
0.221606 101.286
0.22306 101.51
0.224529 101.73
0.226015 101.946
0.227516 102.156
0.229034 102.362
0.230569 102.563
0.23212 102.758
0.233687 102.949
0.235272 103.135
0.236875 103.315
0.238494 103.491
0.240131 103.661
0.241786 103.826
0.243459 103.986
0.24515 104.14
0.24686 104.289
0.248588 104.433
0.250335 104.571
0.252101 104.704
0.253886 104.831
0.25569 104.953
0.257514 105.069
0.259358 105.18
0.261222 105.285
0.263106 105.384
0.265011 105.478
0.266937 105.567
0.268883 105.649
0.27085 105.727
0.272839 105.799
0.27485 105.865
0.276882 105.926
0.278936 105.982
0.281013 106.032
0.283113 106.077
0.285235 106.117
0.28738 106.152
0.289548 106.181
0.291741 106.206
0.293956 106.226
0.296196 106.241
0.298461 106.251
0.30075 106.257
0.303064 106.258
0.305403 106.252
0.307767 106.24
0.310157 106.222
0.312573 106.197
0.315016 106.167
0.317485 106.131
0.31998 106.09
0.322503 106.045
0.325053 105.995
0.327632 105.942
0.330238 105.884
0.332872 105.824
0.335535 105.76
0.338227 105.694
0.340948 105.625
0.343699 105.554
0.346479 105.48
0.34929 105.404
0.352132 105.327
0.355004 105.248
0.357908 105.167
0.360843 105.085
0.36381 105.001
0.366809 104.916
0.369841 104.83
0.372906 104.743
0.376004 104.654
0.379136 104.565
0.382302 104.475
0.385502 104.383
0.388737 104.291
0.392007 104.199
0.395313 104.105
0.398654 104.011
0.402032 103.916
0.405447 103.821
0.408899 103.726
0.412388 103.63
0.415916 103.534
0.419481 103.438
0.423086 103.341
0.426729 103.245
0.430412 103.148
0.434136 103.052
0.437899 102.956
0.441704 102.86
0.44555 102.764
0.449437 102.668
0.453367 102.573
0.45734 102.477
0.461356 102.382
0.465415 102.288
0.469519 102.193
0.473667 102.099
0.477861 102.005
0.4821 101.912
0.486385 101.819
0.490716 101.726
0.495095 101.633
0.499521 101.541
0.503995 101.449
0.508518 101.357
0.51309 101.266
0.517712 101.175
0.522384 101.084
0.527107 100.993
0.531881 100.903
0.536707 100.813
0.541586 100.723
0.546518 100.633
0.551503 100.544
0.556542 100.455
0.561636 100.366
0.566786 100.277
0.571991 100.188
0.577253 100.1
0.582572 100.011
0.587949 99.9226
0.593385 99.8342
