# y+ ()       
# Time        	patch         	min           	max           	average       
21.5          	topWall	7.037839e-02	6.863401e-01	5.986419e-01
21.5          	bottomWall	1.581285e-02	1.395064e-01	2.563809e-02
22            	topWall	7.042871e-02	6.871921e-01	5.994095e-01
22            	bottomWall	1.566776e-02	1.395034e-01	2.558537e-02
22.5          	topWall	7.047350e-02	6.879573e-01	6.001011e-01
22.5          	bottomWall	1.553584e-02	1.395006e-01	2.553838e-02
23            	topWall	7.051338e-02	6.886443e-01	6.007240e-01
23            	bottomWall	1.541595e-02	1.394979e-01	2.549651e-02
23.5          	topWall	7.054888e-02	6.892611e-01	6.012851e-01
23.5          	bottomWall	1.530702e-02	1.394953e-01	2.545919e-02
24            	topWall	7.058047e-02	6.898165e-01	6.017902e-01
24            	bottomWall	1.520811e-02	1.394929e-01	2.542592e-02
24.5          	topWall	7.060858e-02	6.903153e-01	6.022451e-01
24.5          	bottomWall	1.511832e-02	1.394905e-01	2.539627e-02
25            	topWall	7.063360e-02	6.907627e-01	6.026544e-01
25            	bottomWall	1.503683e-02	1.394883e-01	2.536984e-02
25.5          	topWall	7.065585e-02	6.911641e-01	6.030229e-01
25.5          	bottomWall	1.496291e-02	1.394861e-01	2.534627e-02
26            	topWall	7.067566e-02	6.915241e-01	6.033545e-01
26            	bottomWall	1.489587e-02	1.394841e-01	2.532527e-02
26.5          	topWall	7.069327e-02	6.918468e-01	6.036528e-01
26.5          	bottomWall	1.483509e-02	1.394821e-01	2.530654e-02
27            	topWall	7.070894e-02	6.921362e-01	6.039212e-01
27            	bottomWall	1.478000e-02	1.394802e-01	2.528984e-02
27.5          	topWall	7.072288e-02	6.923963e-01	6.041626e-01
27.5          	bottomWall	1.473009e-02	1.394785e-01	2.527494e-02
28            	topWall	7.073528e-02	6.926298e-01	6.043798e-01
28            	bottomWall	1.468487e-02	1.394767e-01	2.526166e-02
28.5          	topWall	7.074631e-02	6.928390e-01	6.045751e-01
28.5          	bottomWall	1.464391e-02	1.394751e-01	2.524981e-02
29            	topWall	7.075611e-02	6.930264e-01	6.047506e-01
29            	bottomWall	1.460683e-02	1.394735e-01	2.523925e-02
29.5          	topWall	7.076484e-02	6.931943e-01	6.049085e-01
29.5          	bottomWall	1.457326e-02	1.394720e-01	2.522982e-02
30            	topWall	7.077259e-02	6.933447e-01	6.050505e-01
30            	bottomWall	1.454287e-02	1.394705e-01	2.522141e-02
30.5          	topWall	7.077949e-02	6.934793e-01	6.051781e-01
30.5          	bottomWall	1.451538e-02	1.394691e-01	2.521391e-02
31            	topWall	7.078563e-02	6.935999e-01	6.052927e-01
31            	bottomWall	1.449050e-02	1.394678e-01	2.520721e-02
31.5          	topWall	7.079108e-02	6.937078e-01	6.053958e-01
31.5          	bottomWall	1.446800e-02	1.394665e-01	2.520123e-02
32            	topWall	7.079593e-02	6.938044e-01	6.054884e-01
32            	bottomWall	1.444765e-02	1.394652e-01	2.519590e-02
32.5          	topWall	7.080025e-02	6.938909e-01	6.055717e-01
32.5          	bottomWall	1.442925e-02	1.394640e-01	2.519113e-02
33            	topWall	7.080409e-02	6.939683e-01	6.056465e-01
33            	bottomWall	1.441261e-02	1.394628e-01	2.518688e-02
33.5          	topWall	7.080750e-02	6.940375e-01	6.057137e-01
33.5          	bottomWall	1.439757e-02	1.394617e-01	2.518308e-02
34            	topWall	7.081054e-02	6.940995e-01	6.057741e-01
34            	bottomWall	1.438397e-02	1.394607e-01	2.517969e-02
34.5          	topWall	7.081324e-02	6.941549e-01	6.058283e-01
34.5          	bottomWall	1.437169e-02	1.394596e-01	2.517666e-02
35            	topWall	7.081564e-02	6.942045e-01	6.058770e-01
35            	bottomWall	1.436059e-02	1.394586e-01	2.517396e-02
35.5          	topWall	7.081778e-02	6.942488e-01	6.059208e-01
35.5          	bottomWall	1.435056e-02	1.394577e-01	2.517154e-02
36            	topWall	7.081968e-02	6.942885e-01	6.059601e-01
36            	bottomWall	1.434150e-02	1.394567e-01	2.516938e-02
36.5          	topWall	7.082137e-02	6.943239e-01	6.059954e-01
