# y+ ()       
# Time        	patch         	min           	max           	average       
53.5          	topWall	3.487649e-02	4.172206e-01	3.436154e-01
53.5          	bottomWall	7.979102e-02	3.632755e+01	2.669650e+01
54            	topWall	3.487649e-02	4.172206e-01	3.436154e-01
54            	bottomWall	7.979102e-02	3.632755e+01	2.669650e+01
54.5          	topWall	3.487649e-02	4.172206e-01	3.436154e-01
54.5          	bottomWall	7.979102e-02	3.632755e+01	2.669650e+01
55            	topWall	3.487649e-02	4.172206e-01	3.436154e-01
55            	bottomWall	7.979102e-02	3.632755e+01	2.669650e+01
55.5          	topWall	3.487649e-02	4.172206e-01	3.436154e-01
55.5          	bottomWall	7.979102e-02	3.632755e+01	2.669650e+01
56            	topWall	3.487649e-02	4.172206e-01	3.436154e-01
56            	bottomWall	7.979102e-02	3.632755e+01	2.669650e+01
56.5          	topWall	3.487649e-02	4.172206e-01	3.436154e-01
56.5          	bottomWall	7.979102e-02	3.632755e+01	2.669650e+01
57            	topWall	3.487649e-02	4.172206e-01	3.436154e-01
57            	bottomWall	7.979102e-02	3.632755e+01	2.669650e+01
57.5          	topWall	3.487649e-02	4.172206e-01	3.436154e-01
57.5          	bottomWall	7.979102e-02	3.632755e+01	2.669650e+01
58            	topWall	3.487649e-02	4.172206e-01	3.436154e-01
58            	bottomWall	7.979102e-02	3.632755e+01	2.669650e+01
58.5          	topWall	3.487649e-02	4.172206e-01	3.436154e-01
58.5          	bottomWall	7.979102e-02	3.632755e+01	2.669650e+01
59            	topWall	3.487649e-02	4.172206e-01	3.436154e-01
59            	bottomWall	7.979102e-02	3.632755e+01	2.669650e+01
59.5          	topWall	3.487649e-02	4.172206e-01	3.436154e-01
59.5          	bottomWall	7.979102e-02	3.632755e+01	2.669650e+01
60            	topWall	3.487649e-02	4.172206e-01	3.436154e-01
60            	bottomWall	7.979102e-02	3.632755e+01	2.669650e+01
