# y+ ()       
# Time        	patch         	min           	max           	average       
21.5          	topWall	1.304608e-01	1.333286e+00	1.155320e+00
21.5          	bottomWall	2.229915e-03	5.389611e-03	2.871931e-03
22            	topWall	1.314883e-01	1.347714e+00	1.167264e+00
22            	bottomWall	2.222638e-03	5.388867e-03	2.871772e-03
22.5          	topWall	1.324757e-01	1.361655e+00	1.178771e+00
22.5          	bottomWall	2.215842e-03	5.388188e-03	2.871767e-03
23            	topWall	1.334277e-01	1.375128e+00	1.189858e+00
23            	bottomWall	2.209499e-03	5.387589e-03	2.871895e-03
23.5          	topWall	1.342949e-01	1.388151e+00	1.200541e+00
23.5          	bottomWall	2.203587e-03	5.387068e-03	2.872134e-03
24            	topWall	1.352096e-01	1.400748e+00	1.210834e+00
24            	bottomWall	2.198083e-03	5.386612e-03	2.872467e-03
24.5          	topWall	1.360268e-01	1.412912e+00	1.220751e+00
24.5          	bottomWall	2.192966e-03	5.386199e-03	2.872876e-03
25            	topWall	1.368312e-01	1.424679e+00	1.230310e+00
25            	bottomWall	2.188214e-03	5.385806e-03	2.873344e-03
25.5          	topWall	1.375965e-01	1.436043e+00	1.239516e+00
25.5          	bottomWall	2.183806e-03	5.385411e-03	2.873860e-03
26            	topWall	1.383282e-01	1.447040e+00	1.248391e+00
26            	bottomWall	2.179718e-03	5.385000e-03	2.874410e-03
26.5          	topWall	1.390303e-01	1.457662e+00	1.256940e+00
26.5          	bottomWall	2.175926e-03	5.384568e-03	2.874986e-03
27            	topWall	1.397033e-01	1.467931e+00	1.265177e+00
27            	bottomWall	2.172406e-03	5.384115e-03	2.875577e-03
27.5          	topWall	1.403471e-01	1.477859e+00	1.273113e+00
27.5          	bottomWall	2.169135e-03	5.383653e-03	2.876177e-03
28            	topWall	1.409645e-01	1.487452e+00	1.280758e+00
28            	bottomWall	2.166089e-03	5.383196e-03	2.876781e-03
28.5          	topWall	1.415556e-01	1.496725e+00	1.288123e+00
28.5          	bottomWall	2.163249e-03	5.382762e-03	2.877383e-03
29            	topWall	1.421211e-01	1.505684e+00	1.295218e+00
29            	bottomWall	2.160593e-03	5.382362e-03	2.877979e-03
29.5          	topWall	1.426636e-01	1.514343e+00	1.302053e+00
29.5          	bottomWall	2.158104e-03	5.382005e-03	2.878567e-03
30            	topWall	1.431825e-01	1.522710e+00	1.308636e+00
30            	bottomWall	2.155768e-03	5.381689e-03	2.879143e-03
30.5          	topWall	1.436797e-01	1.530797e+00	1.314976e+00
30.5          	bottomWall	2.153571e-03	5.381406e-03	2.879708e-03
31            	topWall	1.441528e-01	1.538611e+00	1.321083e+00
31            	bottomWall	2.151501e-03	5.381146e-03	2.880259e-03
31.5          	topWall	1.446137e-01	1.546158e+00	1.326964e+00
31.5          	bottomWall	2.149549e-03	5.380892e-03	2.880797e-03
32            	topWall	1.450434e-01	1.553450e+00	1.332626e+00
32            	bottomWall	2.147708e-03	5.380633e-03	2.881320e-03
32.5          	topWall	1.454642e-01	1.560502e+00	1.338081e+00
32.5          	bottomWall	2.145971e-03	5.380358e-03	2.881829e-03
33            	topWall	1.458640e-01	1.567307e+00	1.343332e+00
33            	bottomWall	2.144332e-03	5.380062e-03	2.882324e-03
33.5          	topWall	1.462458e-01	1.573881e+00	1.348387e+00
33.5          	bottomWall	2.142785e-03	5.379748e-03	2.882806e-03
34            	topWall	1.466121e-01	1.580237e+00	1.353256e+00
34            	bottomWall	2.141327e-03	5.379424e-03	2.883274e-03
34.5          	topWall	1.469625e-01	1.586370e+00	1.357942e+00
34.5          	bottomWall	2.139952e-03	5.379105e-03	2.883729e-03
35            	topWall	1.472974e-01	1.592296e+00	1.362454e+00
35            	bottomWall	2.138659e-03	5.378804e-03	2.884172e-03
35.5          	topWall	1.476182e-01	1.598023e+00	1.366798e+00
35.5          	bottomWall	2.137442e-03	5.378535e-03	2.884601e-03
36            	topWall	1.479253e-01	1.603546e+00	1.370978e+00
36            	bottomWall	2.136300e-03	5.378304e-03	2.885019e-03
36.5          	topWall	1.482185e-01	1.608887e+00	1.375002e+00
36.5          	bottomWall	2.135228e-03	5.378111e-03	2.885423e-03
37            	topWall	1.484994e-01	1.614043e+00	1.378877e+00
37            	bottomWall	2.134224e-03	5.377947e-03	2.885816e-03
37.5          	topWall	1.487679e-01	1.619021e+00	1.382605e+00
37.5          	bottomWall	2.133285e-03	5.377801e-03	2.886198e-03
38            	topWall	1.490248e-01	1.623825e+00	1.386192e+00
38            	bottomWall	2.132408e-03	5.377656e-03	2.886568e-03
38.5          	topWall	1.492704e-01	1.628464e+00	1.389645e+00
38.5          	bottomWall	2.131590e-03	5.377497e-03	2.886927e-03
39            	topWall	1.495055e-01	1.632946e+00	1.392968e+00
39            	bottomWall	2.130828e-03	5.377312e-03	2.887276e-03
39.5          	topWall	1.497305e-01	1.637268e+00	1.396165e+00
39.5          	bottomWall	2.130119e-03	5.377096e-03	2.887615e-03
40            	topWall	1.499449e-01	1.641442e+00	1.399241e+00
40            	bottomWall	2.129461e-03	5.376852e-03	2.887943e-03
40.5          	topWall	1.501507e-01	1.645469e+00	1.402201e+00
40.5          	bottomWall	2.128850e-03	5.376594e-03	2.888262e-03
41            	topWall	1.503472e-01	1.649361e+00	1.405048e+00
41            	bottomWall	2.128284e-03	5.376339e-03	2.888570e-03
41.5          	topWall	1.505343e-01	1.653111e+00	1.407787e+00
41.5          	bottomWall	2.127761e-03	5.376109e-03	2.888869e-03
42            	topWall	1.507147e-01	1.656731e+00	1.410423e+00
42            	bottomWall	2.127278e-03	5.375920e-03	2.889158e-03
42.5          	topWall	1.508863e-01	1.660224e+00	1.412957e+00
42.5          	bottomWall	2.126833e-03	5.375781e-03	2.889437e-03
43            	topWall	1.510498e-01	1.663595e+00	1.415394e+00
43            	bottomWall	2.126423e-03	5.375686e-03	2.889706e-03
43.5          	topWall	1.512233e-01	1.666848e+00	1.417739e+00
43.5          	bottomWall	2.126046e-03	5.375624e-03	2.889965e-03
44            	topWall	1.513732e-01	1.669981e+00	1.419995e+00
44            	bottomWall	2.125700e-03	5.375573e-03	2.890215e-03
44.5          	topWall	1.515154e-01	1.673009e+00	1.422163e+00
44.5          	bottomWall	2.125383e-03	5.375512e-03	2.890456e-03
45            	topWall	1.516511e-01	1.675925e+00	1.424248e+00
45            	bottomWall	2.125093e-03	5.375419e-03	2.890688e-03
45.5          	topWall	1.517682e-01	1.678738e+00	1.426252e+00
45.5          	bottomWall	2.124829e-03	5.375281e-03	2.890912e-03
46            	topWall	1.518932e-01	1.681453e+00	1.428179e+00
46            	bottomWall	2.124588e-03	5.375093e-03	2.891127e-03
46.5          	topWall	1.520117e-01	1.684064e+00	1.430031e+00
46.5          	bottomWall	2.124369e-03	5.374862e-03	2.891335e-03
47            	topWall	1.521262e-01	1.686588e+00	1.431812e+00
47            	bottomWall	2.124171e-03	5.374612e-03	2.891536e-03
47.5          	topWall	1.522354e-01	1.689018e+00	1.433524e+00
47.5          	bottomWall	2.123991e-03	5.374376e-03	2.891729e-03
48            	topWall	1.523391e-01	1.691359e+00	1.435169e+00
48            	bottomWall	2.123829e-03	5.374186e-03	2.891915e-03
48.5          	topWall	1.524381e-01	1.693621e+00	1.436751e+00
48.5          	bottomWall	2.123684e-03	5.374067e-03	2.892094e-03
49            	topWall	1.525332e-01	1.695796e+00	1.438271e+00
49            	bottomWall	2.123554e-03	5.374021e-03	2.892265e-03
49.5          	topWall	1.526236e-01	1.697889e+00	1.439731e+00
49.5          	bottomWall	2.123437e-03	5.374036e-03	2.892428e-03
50            	topWall	1.527103e-01	1.699912e+00	1.441134e+00
50            	bottomWall	2.123334e-03	5.374083e-03	2.892584e-03
50.5          	topWall	1.527929e-01	1.701858e+00	1.442483e+00
50.5          	bottomWall	2.123243e-03	5.374131e-03	2.892733e-03
51            	topWall	1.528716e-01	1.703729e+00	1.443778e+00
51            	bottomWall	2.123162e-03	5.374144e-03	2.892876e-03
51.5          	topWall	1.529470e-01	1.705539e+00	1.445022e+00
51.5          	bottomWall	2.123092e-03	5.374091e-03	2.893013e-03
52            	topWall	1.530190e-01	1.707278e+00	1.446218e+00
52            	bottomWall	2.123032e-03	5.373953e-03	2.893145e-03
52.5          	topWall	1.530879e-01	1.708952e+00	1.447366e+00
52.5          	bottomWall	2.122980e-03	5.373728e-03	2.893272e-03
53            	topWall	1.531530e-01	1.710561e+00	1.448469e+00
53            	bottomWall	2.122936e-03	5.373436e-03	2.893394e-03
